,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label,gender
3037,anetv_dbR5AzEZOPE,8207,Men start running in the court trying to grab a pink ball and start playing dodgeball. man,Men start running in the court trying to grab a pink ball and start playing dodgeball.,man,gold,is throwing a ball and hitting the ball onto the field.,is doing weightlifting on obstacles.,is standing in an open room holding a racket and throwing a ball around the field.,is talking to the camera in font of a bricked wall.,3,0
3038,lsmdc1041_This_is_40-9167,2512,His mouth twists in a sob. He,His mouth twists in a sob.,He,gold,"drops backwards, then soars to the sky.",is playing guitar on the nightstand.,smiles proudly as he runs toward him and wraps his arms around someone.,hangs his head and squeezes his eyes shut.,3,0
3039,lsmdc1041_This_is_40-9167,2513,He hangs his head and squeezes his eyes shut. He,He hangs his head and squeezes his eyes shut.,He,gen,goes to the phone and dials.,"walks onto someone, rolling up his cheeks.",shakes his head disapprovingly.,heads toward someone's house.,2,0
3040,lsmdc1041_This_is_40-9167,2511,"Now, someone sits in his car with his eyes glistening. His mouth","Now, someone sits in his car with his eyes glistening.",His mouth,gen,hangs open as his eyes fixed in on someone.,hangs open as if he is overwhelming his words.,moves close to hers.,hangs open as he glances toward a mirror and flushes both eyes.,0,0
3041,lsmdc1041_This_is_40-9167,2514,"He bursts into tears all over again. Now, someone's car",He bursts into tears all over again.,"Now, someone's car",gen,is carrying on the street.,drives parked cabs behind trees.,drives away with the headlights.,puts a van in the driveway.,2,2
3042,lsmdc1041_This_is_40-9167,2514,"He bursts into tears all over again. Now, someone's car",He bursts into tears all over again.,"Now, someone's car",gold,puts a van in the driveway.,pulls up at an upscale apartment building.,drives parked cabs behind trees.,is carrying on the street.,1,2
3043,lsmdc1041_This_is_40-9167,2513,He hangs his head and squeezes his eyes shut. He,He hangs his head and squeezes his eyes shut.,He,gold,goes to the phone and dials.,"walks onto someone, rolling up his cheeks.",heads toward someone's house.,"lifts his head back, his chin quivering.",3,0
3044,lsmdc1041_This_is_40-9167,2511,"Now, someone sits in his car with his eyes glistening. His mouth","Now, someone sits in his car with his eyes glistening.",His mouth,gold,twists in a sob.,hangs open as he glances toward a mirror and flushes both eyes.,hangs open and he hugs his pale baby.,hangs open as if he is overwhelming his words.,0,0
3045,lsmdc1041_This_is_40-9167,2510,"The two rockers leave, patting each other's backs. Now, someone","The two rockers leave, patting each other's backs.","Now, someone",gen,trots through the door and down the tunnel.,holds the little cake in a skimmer.,is placing a diamond on her cake in the church.,is outside on a sunny field with someone.,0,2
3046,anetv_TN8tBV7CY6U,14855,A man uses the cue to shoot the balls into the pockets. He,A man uses the cue to shoot the balls into the pockets.,He,gold,sits a doll on the table to show size.,starts to put the hole in the white wall.,takes its place and lifts her straw.,runs onto the field and stands by the sink.,0,0
3047,anetv_TN8tBV7CY6U,14855,A man uses the cue to shoot the balls into the pockets. He,A man uses the cue to shoot the balls into the pockets.,He,gen,runs onto the field and stands by the sink.,throws the ball with the stick.,starts to put the hole in the white wall.,takes its place and lifts her straw.,1,0
3048,anetv_TN8tBV7CY6U,14854,A close up is shown of a mini pool table with cues and balls. A man,A close up is shown of a mini pool table with cues and balls.,A man,gold,watches a couple of various shots as they fill the room with glasses.,walks to the middle of a lane and throws the ball over the basket.,uses the cue to shoot the balls into the pockets.,looks over at the net while it pans to the camera.,2,0
3049,anetv_8NfYYT8d3EQ,7312,The video then cuts to a woman standing behind a table filled with cooking ingredients. She,The video then cuts to a woman standing behind a table filled with cooking ingredients.,She,gen,"adds a piece of meat to a gift, then stops on the counter.",grabs a pan and begins mixing ingredients into a mixing bowl.,are shown on the screen slack.,grabs the top of the slice and wipes it down with the solution.,1,1
3050,anetv_8NfYYT8d3EQ,7315,She then pours a sauce all over it. She then,She then pours a sauce all over it.,She then,gold,finishes ingredients all over a lemon and blows it all together.,speaks to the camera some more to offer tips on how to make the dish.,puts it into the pot and drops the glass into the glass.,starts talking and loading a cup that is thrown into a mixing bowl and pouring butter in a cocktail before throwing a glass.,1,1
3051,anetv_8NfYYT8d3EQ,7311,A text that reads Deeba's Recipe appears on the screen. The video then,A text that reads Deeba's Recipe appears on the screen.,The video then,gold,passes over the night.,cuts to a woman standing behind a table filled with cooking ingredients.,"shows a man how to catch a bowling ball, then it hits a potato.","goes to a lipstick piece, and the woman video taping a new laptop screen.",1,2
3052,anetv_8NfYYT8d3EQ,7313,She speaks to the camera while showing some of what she has prepped for the dish. She,She speaks to the camera while showing some of what she has prepped for the dish.,She,gold,places the various ingredients into a bowl and garnishes it very precisely.,is gone and ends multiple times by moving across the field.,continues to demonstrate behind movements as she speaks to the camera.,grabs the bowl again and begins to mix them together in a language.,0,1
3053,anetv_8NfYYT8d3EQ,7314,She places the various ingredients into a bowl and garnishes it very precisely. She then,She places the various ingredients into a bowl and garnishes it very precisely.,She then,gold,places the rest of the vase into a bowl.,pours a sauce all over it.,"holds the handle over the dough, licking it.",tops the dressing with the salad.,1,1
3054,anetv_8NfYYT8d3EQ,7312,The video then cuts to a woman standing behind a table filled with cooking ingredients. She,The video then cuts to a woman standing behind a table filled with cooking ingredients.,She,gold,speaks to the camera while showing some of what she has prepped for the dish.,boils the flour by cooking them in a bowl.,"adds a piece of meat to a gift, then stops on the counter.",are shown on the screen slack.,0,1
3055,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17644,"A blonde witch looks up and snarls at the intruders. Leaving a trail of dust, she",A blonde witch looks up and snarls at the intruders.,"Leaving a trail of dust, she",gold,"tries to escape out of a window, where someone clubs her.",just stands and feels cartoons.,clutches the front round to her mouth as someone crawls.,"runs to a white similar hut, mounted on it.",0,1
3056,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17642,Someone pulls a cart of dead witches. They,Someone pulls a cart of dead witches.,They,gold,fly them out from their tails.,pull out a few choppers.,stand outside a witches lair.,get into a hospital.,2,2
3057,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17636,Someone stamps hard on the blade severing someone's head. Someone,Someone stamps hard on the blade severing someone's head.,Someone,gold,stands with his gun at his neck.,runs into the house smiling.,glares into someone's house again.,punches someone in the face.,1,2
3058,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17640,"A man throws a pouch of coins, someone catches it. The siblings","A man throws a pouch of coins, someone catches it.",The siblings,gold,flutter as he beams.,walk away from the blaze.,lock an arm lapel.,knock down the glasses.,1,2
3059,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17644,"A blonde witch looks up and snarls at the intruders. Leaving a trail of dust, she",A blonde witch looks up and snarls at the intruders.,"Leaving a trail of dust, she",gen,just stands and feels cartoons.,passes someone just as the smoke dissipates.,clutches the front round to her mouth as someone crawls.,"runs to a white similar hut, mounted on it.",1,1
3060,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17636,Someone stamps hard on the blade severing someone's head. Someone,Someone stamps hard on the blade severing someone's head.,Someone,gen,stands with his gun at his neck.,glares into someone's house again.,punches someone in the face.,tries to pull someone down with his hands raised.,3,2
3061,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17643,Someone pouches on the door which shatters forward. A blonde witch,Someone pouches on the door which shatters forward.,A blonde witch,gold,emerges from a rock.,holds him hostage.,looks up and snarls at the intruders.,puts a red glove over her mouth and raises a basilisk in the air.,2,2
3062,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17638,Someone turns around holding someone's head by the hair. Someone,Someone turns around holding someone's head by the hair.,Someone,gold,holds his hand to someone's face.,faces him with trembling fingertips.,kisses him tenderly on the forehead.,gulps at the sight.,3,2
3063,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17639,Someone gulps at the sight. Someone,Someone gulps at the sight.,Someone,gen,downs his car someone radio with a cup of champagne.,shakes off the contact.,"encourages someone, the thief in the essay and floating in offices.",turns to find someone comforting someone.,3,2
3064,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17635,"When she frees herself of the chain, she attacks someone. Someone","When she frees herself of the chain, she attacks someone.",Someone,gold,rips the zombie at her shoes.,grabs at the ropes and gets out.,beats her with a shovel and stabs her in the neck with the shovel's blade.,approaches with glee of missing play.,2,2
3065,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17641,The siblings walk away from the blaze. Someone,The siblings walk away from the blaze.,Someone,gold,pulls a cart of dead witches.,zips out the phone.,sits across his right as the little older man talk.,smacks the boy's shoulder arm.,0,2
3066,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17641,The siblings walk away from the blaze. Someone,The siblings walk away from the blaze.,Someone,gen,straightens back with a smile.,smacks the boy's shoulder arm.,sits across his right as the little older man talk.,zips out the phone.,0,2
3067,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-2039,17637,Someone runs into the house smiling. Someone,Someone runs into the house smiling.,Someone,gen,"jogs down a street, wide - eyed as he nears the car.","walked over to them, bathed in sweat, and pushed towards someone.","comes up behind him, clutching a gun on her ankle.",is condensation from the old shop.,1,2
3068,anetv_NLCNBK2YJQU,8122,The man grabs the rear right paddle. He,The man grabs the rear right paddle.,He,gold,adjusts his fishing pole.,see the screen in the distance.,continues to ride around on the wire and ends by stopping the bumper.,puts another medal on the president.,0,0
3069,anetv_NLCNBK2YJQU,8121,We see a man in a canoe riding in the ocean. The man,We see a man in a canoe riding in the ocean.,The man,gen,gets up and clips the javelin by.,sits on the shore with a paddle.,gulps a crystal tokens.,continues to examine the open wound.,1,0
3070,anetv_NLCNBK2YJQU,398,A man is riding a wave with a sailboat. He,A man is riding a wave with a sailboat.,He,gen,pauses to talk to the camera then the back of the kayak.,starts paddling beside a large group of people on the water.,is jumping around on surf boards.,uses his hand to pull the board off the vehicle.,1,0
3071,anetv_NLCNBK2YJQU,8125,The man moves the selfie stick all around himself. He,The man moves the selfie stick all around himself.,He,gold,moves the bottom bars on his back to show how to skate.,"gets to the city, where he sails, is interviewed and smiles.",continues skating while looking back for the camera.,holds the camera still on the right of himself.,3,0
3072,anetv_NLCNBK2YJQU,8123,He adjusts his fishing pole. The Camera angle,He adjusts his fishing pole.,The Camera angle,gen,sweeps the lacrosse ball to the play pool.,secures the rope and shows another man that swims along next ice along with water.,tracks around him disappearing into the darkness of the forest.,spins several times while he cuts up the ball.,2,2
3073,anetv_NLCNBK2YJQU,8123,He adjusts his fishing pole. The Camera angle,He adjusts his fishing pole.,The Camera angle,gold,changes to in front of the man.,sweeps the lacrosse ball to the play pool.,secures the rope and shows another man that swims along next ice along with water.,spins several times while he cuts up the ball.,0,2
3074,anetv_NLCNBK2YJQU,8125,The man moves the selfie stick all around himself. He,The man moves the selfie stick all around himself.,He,gen,continues skating while looking back for the camera.,moves the bottom bars on his back to show how to skate.,continues holding the object upright and smiling.,"gets to the city, where he sails, is interviewed and smiles.",2,0
3075,anetv_NLCNBK2YJQU,398,A man is riding a wave with a sailboat. He,A man is riding a wave with a sailboat.,He,gold,uses his hand to pull the board off the vehicle.,continues walking and takes the board out of the water.,is leaning back and holding the camera on a rod.,runs after the beach and creates the land.,2,0
3076,anetv_NLCNBK2YJQU,8121,We see a man in a canoe riding in the ocean. The man,We see a man in a canoe riding in the ocean.,The man,gold,gets up and clips the javelin by.,gulps a crystal tokens.,grabs the rear right paddle.,sits on stage with others on rapids.,2,0
3077,anetv_NLCNBK2YJQU,398,A man is riding a wave with a sailboat. He,A man is riding a wave with a sailboat.,He,gen,runs after the beach and creates the land.,continues walking and takes the board out of the water.,pauses to talk to the camera then the back of the kayak.,uses his hand to pull the board off the vehicle.,2,0
3078,anetv_NLCNBK2YJQU,8121,We see a man in a canoe riding in the ocean. The man,We see a man in a canoe riding in the ocean.,The man,gen,gulps a crystal tokens.,gets up and clips the javelin by.,rides a canoe into the water.,sits on stage with others on rapids.,2,0
3079,anetv_NLCNBK2YJQU,8124,The Camera angle changes to in front of the man. The man,The Camera angle changes to in front of the man.,The man,gen,rubs the boy's brush on one hand.,is smiling while the man puts the makeup on his face.,rolls a big shirt over and begins to play curling.,continues to work while holding his hands up when he is done.,1,0
3080,anetv_NLCNBK2YJQU,8124,The Camera angle changes to in front of the man. The man,The Camera angle changes to in front of the man.,The man,gold,rubs the boy's brush on one hand.,continues to work while holding his hands up when he is done.,rolls a big shirt over and begins to play curling.,moves the selfie stick all around himself.,3,0
3081,anetv_smh90DBXsBg,9125,We see the design briefly. We,We see the design briefly.,We,gen,see another boy tattooing.,see the opening title screens.,see pumpkin flashes and see windex.,see a shot of a pumpkin and pumpkin carving pumpkin explaining.,1,2
3082,anetv_smh90DBXsBg,17725,"A woman in a purple sun dress, wearing pink sunglasses in her hair receives a tattoo in a tattoo parlor by a tattoo artist with tattoos and a baseball hat. A woman","A woman in a purple sun dress, wearing pink sunglasses in her hair receives a tattoo in a tattoo parlor by a tattoo artist with tattoos and a baseball hat.",A woman,gold,is shown sitting in a chair and receiving a tattoo by a tattooed tattoo artist wearing white gloves and a backwards baseball cap.,is shoved to a chair smoking a cigarette.,"sits with two women, occasionally posing with an olympic poster.",mops the floor gracefully.,0,1
3083,anetv_smh90DBXsBg,17725,"A woman in a purple sun dress, wearing pink sunglasses in her hair receives a tattoo in a tattoo parlor by a tattoo artist with tattoos and a baseball hat. A woman","A woman in a purple sun dress, wearing pink sunglasses in her hair receives a tattoo in a tattoo parlor by a tattoo artist with tattoos and a baseball hat.",A woman,gen,"sits with two women, occasionally posing with an olympic poster.",is showing off the tattoo.,mops the floor gracefully.,is shoved to a chair smoking a cigarette.,1,1
3084,anetv_smh90DBXsBg,9124,We see a lady sitting in a chair in a tattoo parlor as the tattoo artist is behind her working on her shoulder. We,We see a lady sitting in a chair in a tattoo parlor as the tattoo artist is behind her working on her shoulder.,We,gold,see a lady on a dimly lit hallway.,see the design briefly.,see the aliens scratching at the smooth outline.,see the bottom of her pumpkin.,1,2
3085,anetv_smh90DBXsBg,9125,We see the design briefly. We,We see the design briefly.,We,gold,see a man having a chain curled on top of the tree.,see the ending title screen.,see a shot of a pumpkin and pumpkin carving pumpkin explaining.,pan down and see a lady's feet.,3,2
3086,anetv_smh90DBXsBg,9125,We see the design briefly. We,We see the design briefly.,We,gen,see the ending title screen.,see a man having a chain curled on top of the tree.,see a shot of a pumpkin and pumpkin carving pumpkin explaining.,see another boy tattooing.,3,2
3087,anetv_S7MZle1gPzI,7791,A man lays back in ocean water as he holds onto a bar. He,A man lays back in ocean water as he holds onto a bar.,He,gold,is wearing a casual shirt and standing with a hand pool angle.,lifts the metal disk and waves in on his side.,is drug by a boat filled with people.,flips the water perfectly and the water twists under a girl's arm.,2,0
3088,anetv_S7MZle1gPzI,7792,"He is drug by a boat filled with people. He gains his balance, and",He is drug by a boat filled with people.,"He gains his balance, and",gold,is water skiing quickly behind the boat.,sets him back on a bike.,his paddling throughout the air.,drops to the ground.,0,0
3089,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86377,4302,"Smiling, someone takes a step back, then turns and walks briskly out of the door. Straight - backed and without the use of a cane, someone","Smiling, someone takes a step back, then turns and walks briskly out of the door.","Straight - backed and without the use of a cane, someone",gold,"walks past him, purposefully spinning the glass and blue plastic fan across the floor.",lays it in the sergeant's arm.,goes to a window and peers out through narrowed eyes.,stares slack - jawed as he speaks up.,2,2
3090,anetv_Xrjkjz1l4qw,13652,He picks up a rubiks cube and starts completing it. He,He picks up a rubiks cube and starts completing it.,He,gold,finishes and sets the rubiks cube on the desk in front of him.,creates a series of multiple cubes of cubes.,inserts the cube into a large mouth.,then begins solving the rubix rubix.,0,0
3091,anetv_Xrjkjz1l4qw,13651,A man is sitting in front of a desk. He,A man is sitting in front of a desk.,He,gen,begins to solve a rubik's cube.,beats it with metal sticks.,does a tattoo on his arm.,talks as he plays a set of bagpipes.,0,0
3092,anetv_Xrjkjz1l4qw,13651,A man is sitting in front of a desk. He,A man is sitting in front of a desk.,He,gold,talks as he plays a set of bagpipes.,beats it with metal sticks.,does a tattoo on his arm.,picks up a rubiks cube and starts completing it.,3,0
3093,anetv_Xrjkjz1l4qw,9727,"A man is sitting in front of a timer. When it starts, he",A man is sitting in front of a timer.,"When it starts, he",gold,puts a cube on a timer.,grabs a rubik's cube and solves the puzzle in only twelve and a half seconds.,picks up a cleaner and puts it on the machine.,begins to demonstrate how after dirty workout has set for practice.,1,0
3094,anetv_Xrjkjz1l4qw,9728,"When it starts, he grabs a rubik's cube and solves the puzzle in only twelve and a half seconds. He","When it starts, he grabs a rubik's cube and solves the puzzle in only twelve and a half seconds.",He,gold,put her hand on and angle the puzzle while flipping switches on and then displays another lemonade.,puts the cube back down.,is on a recording bedside too.,starts the puzzle butterfly the sparks of it again.,1,0
3095,anetv_7845vSLQoG8,6782,A little boy is bending over dipping a paint brush into a blue bucket. He,A little boy is bending over dipping a paint brush into a blue bucket.,He,gold,sniffs the fabric and brush.,paints the fence in front of him.,uses a brush to paint the bottom of a bell.,scrubs a dog with a sponge.,1,0
3096,anetv_7845vSLQoG8,6783,He paints the fence in front of him. He,He paints the fence in front of him.,He,gen,watches the same distance.,begins to paint the fence.,shows how to paint the fence.,forth shows upper pieces of furniture used to wax.,2,0
3097,anetv_7845vSLQoG8,6783,He paints the fence in front of him. He,He paints the fence in front of him.,He,gold,forth shows upper pieces of furniture used to wax.,watches the same distance.,fall the kids as filmed.,walks towards the camera.,3,0
3098,anetv_7845vSLQoG8,6783,He paints the fence in front of him. He,He paints the fence in front of him.,He,gen,is painting the fence moving to the end.,watches the same distance.,fall the kids as filmed.,forth shows upper pieces of furniture used to wax.,0,0
3099,anetv_Q_kqplOxytU,14132,A small boy is immersed into pool water as he looks around. He,A small boy is immersed into pool water as he looks around.,He,gold,plays the large drums in front of him.,starts skiing down a steep hill of snow.,checks his mouth for a moment to look.,floats and swims with his mother's help.,3,0
3100,anetv_Q_kqplOxytU,14133,"He floats and swims with his mother's help. He blows bubbles, and she",He floats and swims with his mother's help.,"He blows bubbles, and she",gold,ducks underneath her brother's apple.,"twists her body, muttering to herself.",removes him from the water.,lets her swim back into the water.,2,1
3101,lsmdc3073_THE_GUILT_TRIP-34769,2681,"After a while, he looks at his wristwatch, then steps out onto the balcony, and leans on the railing, looking down around the parking lot. He","After a while, he looks at his wristwatch, then steps out onto the balcony, and leans on the railing, looking down around the parking lot.",He,gold,lies backward over the sand.,spots someone entering the motel lounge.,takes a few steps backwards and gets back to the car.,shoots off a hook and goes to shore.,1,0
3102,lsmdc3073_THE_GUILT_TRIP-34769,2680,"Later, he sits on the hotel bed, blankly watching the weather forecast. After a while, he","Later, he sits on the hotel bed, blankly watching the weather forecast.","After a while, he",gold,returns the front - to - attention to the next display.,opens the freezer and pulls out the boxes.,is unaware that he is n't awake yet.,"looks at his wristwatch, then steps out onto the balcony, and leans on the railing, looking down around the parking lot.",3,0
3103,lsmdc0011_Gandhi-52417,14550,"He holds their gaze, then turns to the immobile servant and with a little smile, takes the tray from him and places it on the table next to him. As it sinks in, someone","He holds their gaze, then turns to the immobile servant and with a little smile, takes the tray from him and places it on the table next to him.","As it sinks in, someone",gold,pads with it breathing through the air.,extends a smooth hand to sign that someone - was correct.,pours some tea then looks up at them with a pleading warmth - - first to someone.,intercepts the food bottle's glass and shakes off the ice.,2,2
3104,lsmdc0011_Gandhi-52417,14550,"He holds their gaze, then turns to the immobile servant and with a little smile, takes the tray from him and places it on the table next to him. As it sinks in, someone","He holds their gaze, then turns to the immobile servant and with a little smile, takes the tray from him and places it on the table next to him.","As it sinks in, someone",gen,pats someone on the shoulder.,intercepts the food bottle's glass and shakes off the ice.,extends a smooth hand to sign that someone - was correct.,pads with it breathing through the air.,0,2
3105,lsmdc0011_Gandhi-52417,14551,"It impresses each one of them. But for all his impact, they still",It impresses each one of them.,"But for all his impact, they still",gold,have only the returns.,take the measure of him with caution.,look at the identified throats.,have him peace behind him.,1,0
3106,lsmdc3069_THE_BOUNTY_HUNTER-5006,1146,Someone enters with his kids. Someone,Someone enters with his kids.,Someone,gold,rubs toe - to - shoulder.,picks up the phone.,pouts someone along with his girlfriend.,moves hit with someone.,1,2
3107,lsmdc3052_NO_STRINGS_ATTACHED-25241,18855,Someone turns away someone sits on her bed and pulls on his jeans. She,Someone turns away someone sits on her bed and pulls on his jeans.,She,gen,"considers a moment later, and glances at someone, avoiding someone's gaze.",leans over a window and looks down at his wig shirt.,presses his lips to hers and kisses her on the lips.,folds her arms for a second.,3,1
3108,lsmdc3052_NO_STRINGS_ATTACHED-25241,18855,Someone turns away someone sits on her bed and pulls on his jeans. She,Someone turns away someone sits on her bed and pulls on his jeans.,She,gold,"considers a moment later, and glances at someone, avoiding someone's gaze.",leans over a window and looks down at his wig shirt.,wiggles her hips and waves her hand around provocatively.,sucks in a sketchbook.,2,1
3109,anetv_me4rMjlnTlI,4863,A small group of children are seen holding onto a rope with a man standing in front of them speaking to them. The kids,A small group of children are seen holding onto a rope with a man standing in front of them speaking to them.,The kids,gen,continue spinning around the rope while one people watch and jump in the end.,hit the pinata with the stick while other people watch on the faces.,continue to stand with the rope and snowboards as well as speaking to the camera.,continue to push the fooseball in and back down the yard leading to an area taking pictures of themselves.,0,2
3110,anetv_me4rMjlnTlI,4863,A small group of children are seen holding onto a rope with a man standing in front of them speaking to them. The kids,A small group of children are seen holding onto a rope with a man standing in front of them speaking to them.,The kids,gold,continue pulling with adult's help and then cheer in the end.,hit the pinata with the stick while other people watch on the faces.,continue to push the fooseball in and back down the yard leading to an area taking pictures of themselves.,continue to stand with the rope and snowboards as well as speaking to the camera.,0,2
3111,anetv_6koP53YFNjg,19254,A plastic cup has a white suspension inside. A man welds and machine,A plastic cup has a white suspension inside.,A man welds and machine,gold,matching even represents.,components inside and using a hammer tool.,carves a wooden board.,meticulously have a blue lens with the white information graphic.,2,0
3112,anetv_6koP53YFNjg,19255,A man welds and machine carves a wooden board. A guy,A man welds and machine carves a wooden board.,A guy,gen,"takes a flat green object, then back flips and holds it in place.",uses the tool to weld a piece of wood.,talks and talks to the camera while spattering toilet on windows.,spreads mulch and shows off with the automaton.,1,2
3113,anetv_6koP53YFNjg,19252,A hand knocks over a red plastic cup and wastes the liquid inside. A male,A hand knocks over a red plastic cup and wastes the liquid inside.,A male,gen,"lifts the glass, revealing a blue stain on her skin.","drinks tap and touch it, and replaces it with the white cloth.",spray liquid into a glass container then covers the barrel.,watch to get to a small fish and are pulled along the side of the board.,0,2
3114,anetv_6koP53YFNjg,19254,A plastic cup has a white suspension inside. A man welds and machine,A plastic cup has a white suspension inside.,A man welds and machine,gen,cleans the surface with another machine.,matching even represents.,meticulously have a blue lens with the white information graphic.,components inside and using a hammer tool.,0,0
3115,anetv_6koP53YFNjg,19253,A male reaches for a ball that rolls under a table. A plastic cup,A male reaches for a ball that rolls under a table.,A plastic cup,gen,is attached to a chair in the stands.,hit a ball toward the balls.,holds gurgling mouthwash in his hand.,lies on the table.,3,2
3116,anetv_6koP53YFNjg,19252,A hand knocks over a red plastic cup and wastes the liquid inside. A male,A hand knocks over a red plastic cup and wastes the liquid inside.,A male,gold,"drinks tap and touch it, and replaces it with the white cloth.",pierces the man's ear with a finger.,reaches for a ball that rolls under a table.,watch to get to a small fish and are pulled along the side of the board.,2,2
3117,lsmdc0001_American_Beauty-45766,3209,He disappears down the hall. Someone,He disappears down the hall.,Someone,gen,ducks around his side he hurls a dart at someone.,"smashes a wall, spies the boy with a suit.",stops and follows someone into the bedroom.,"sits at her laptop, transfixed.",2,2
3118,lsmdc0001_American_Beauty-45766,3209,He disappears down the hall. Someone,He disappears down the hall.,Someone,gold,ducks around his side he hurls a dart at someone.,"sits at her laptop, transfixed.","smashes a wall, spies the boy with a suit.","smiles, shuts and locks his door.",3,2
3119,anetv_P0j0bBKsNAo,8227,He continues to climb up and down while showing off to the properly climb with his feet. He,He continues to climb up and down while showing off to the properly climb with his feet.,He,gold,jumps into a pit and despondently gets.,does this a few more times while the camera shows text instructions.,bend down and throw the glass to the end of the area.,hops in red and begins to go licked the floor.,1,0
3120,anetv_P0j0bBKsNAo,8226,A man is seen beginning to climb up a rock wall while looking back and speaking to the camera. He,A man is seen beginning to climb up a rock wall while looking back and speaking to the camera.,He,gold,continues to climb up and down while showing off to the properly climb with his feet.,continues working on the bars and ends by climbing with it and continues moving and hiking up others.,keep moving forward all around the circle and ends by walking up and celebrating at the end.,continues to walk around the lake and walkway into the camera.,0,0
3121,anetv_EhjiQFHfDmY,10499,A woman is seen speaking to the camera when a man walks out with hula hoops. The man then,A woman is seen speaking to the camera when a man walks out with hula hoops.,The man then,gen,pulls himself onto his arms and starts dancing around a bow.,moves around on the court while a woman holds the ball on the side.,begins moving around the brown woman while bowing and speaking to the camera.,begins moving the hula hoop around.,3,0
3122,anetv_EhjiQFHfDmY,15523,The boy enters the stage and begins hula hooping with many white hula hoops while people on the side watch. The boy,The boy enters the stage and begins hula hooping with many white hula hoops while people on the side watch.,The boy,gold,comes home to the camera once again and throws many back on the boy then to the woman.,is holding a hula hoop in their hand and the dog begins to do all jumps and simultaneously.,"ends in a floor hula hoop routine before the woman returns to the stage, shakes his hand, and he leaves the stage.",shows himself in the wedding ring with a pool near and several other people while kids stare in the back room.,2,0
3123,anetv_EhjiQFHfDmY,15521,A woman introduces a boy onto a stage where he proceeds to perform an elaborate hula hoop routine. A woman in a long orange skirt,A woman introduces a boy onto a stage where he proceeds to perform an elaborate hula hoop routine.,A woman in a long orange skirt,gold,is then sitting in a room wearing a turban shirt pants and holding in a velvet rope.,are standing and walking at the bar.,joins her and takes off and gently lifts the hands above her head.,faces the camera and gestures for a young boy to come to the stage.,3,1
3124,anetv_EhjiQFHfDmY,10500,The man then begins performing several different tricks using the hula hoops. He,The man then begins performing several different tricks using the hula hoops.,He,gen,flips a switch in various locations.,continues to play the instrument while the camera zooms in on the game.,continues to spin himself around with a roll and shows out more clips of him running on his arms.,watches the man play and spin several times while he is water dramatic.,3,0
3125,anetv_EhjiQFHfDmY,10499,A woman is seen speaking to the camera when a man walks out with hula hoops. The man then,A woman is seen speaking to the camera when a man walks out with hula hoops.,The man then,gold,moves around on the court while a woman holds the ball on the side.,begins performing several different tricks using the hula hoops.,begins moving around the brown woman while bowing and speaking to the camera.,pulls himself onto his arms and starts dancing around a bow.,1,0
3126,anetv_EhjiQFHfDmY,15522,A woman in a long orange skirt faces the camera and gestures for a young boy to come to the stage. The boy,A woman in a long orange skirt faces the camera and gestures for a young boy to come to the stage.,The boy,gold,twists the stick out and fangs the judges.,enters the stage and begins hula hooping with many white hula hoops while people on the side watch.,"continues to walk before facing the camera, his costume, face stringy, hair thin black.",in blue throws her jacket back in deep motion while falling very hard and there face against a white wall.,1,0
3127,anetv_EhjiQFHfDmY,10500,The man then begins performing several different tricks using the hula hoops. He,The man then begins performing several different tricks using the hula hoops.,He,gold,licks the board and ends by bowing back on the screen and speaking into the microphone.,flips a switch in various locations.,moves all around himself performing tricks on the ground and ends by bowing.,continues to play the instrument while the camera zooms in on the game.,2,0
3128,anetv_EhjiQFHfDmY,10500,The man then begins performing several different tricks using the hula hoops. He,The man then begins performing several different tricks using the hula hoops.,He,gen,continues to play the instrument while the camera zooms in on the game.,licks the board and ends by bowing back on the screen and speaking into the microphone.,flips a switch in various locations.,demonstrates various technique while talking to the camera.,3,0
3129,lsmdc0011_Gandhi-52328,6126,"The captain looks at his clerical collar, his English face, his determination. He","The captain looks at his clerical collar, his English face, his determination.",He,gold,looks down at someone and shakes his head.,"unpacks a new painting, watching someone toasting and full some sorry things.",gives him a stubborn look.,looks back at the young duke - haired hobbit.,0,0
